planet_name,radius_of_planet,planet_mass,orbital_period,transit_depth,orbital_eccentricity,effective_temperature_of_star,radius_of_star,orbital_inclination,impact_parameter,transit_duration,ratio_of_distance_to_star,ratio_of_radii
Kepler-105 b,3.4949999999999997,5.1,5.4122044533333336,0.05989833333333333,0.07833333333333332,6291.166666666667,1.335,87.90666666666665,0.35958333333333337,2.9164833333333333,12.785166666666667,0.0239
Kepler-105 c,1.8679999999999999,3.7333333333333334,7.12594972,0.019212,0.0,6270.0,1.2860000000000003,88.07999999999998,0.41054,2.84958,16.546,0.013356
Kepler-106 b,0.8300000000000001,5.3,6.164925376,0.006078,0.0,5872.4,1.028,87.466,0.56416,3.13788,12.59,0.007392
Kepler-106 c,2.432,11.881730000000001,13.570762894000001,0.0517,0.0,5872.4,1.028,89.032,0.37629999999999997,3.2394800000000004,28.035800000000002,0.021679999999999998
Kepler-106 d,1.042,8.1,23.98027596,0.009222,0.0,5872.4,1.028,88.594,0.42435999999999996,4.77254,32.894,0.009322
Kepler-106 e,2.6260000000000003,8.880315,43.84443556,0.060582000000000004,0.0,5872.4,1.028,89.272,0.49254,6.47662,44.46,0.023420000000000003
Kepler-107 b,1.552,3.655,3.1800127639999998,0.01206,0.0,5869.8,1.3619999999999999,84.244,0.38466,3.6022399999999997,5.9002,0.010496
Kepler-107 c,1.786,9.695,4.901446194,0.013989999999999999,0.0,5869.8,1.3619999999999999,81.50399999999999,0.76556,4.2628,5.664,0.01204
Kepler-107 d,1.07,5.75,7.958215952000001,0.0055379999999999995,0.0,5869.8,1.3619999999999999,86.63199999999999,0.42357999999999996,4.36174,11.298,0.007214
Kepler-107 e,3.006,11.35,14.749131158,0.042234,0.0,5869.8,1.3619999999999999,86.764,0.6267199999999999,6.2763,13.546000000000001,0.020248
Kepler-109 b,2.4099999999999997,5.584686666666667,6.481638268,0.03036,0.0,5934.4,1.338,87.806,0.36674,3.6728799999999997,12.055,0.016468
Kepler-109 c,2.538,10.58494,21.22258034,0.036154000000000006,0.0,5934.4,1.338,89.952,0.021959999999999997,6.490799999999999,25.413,0.017352
Kepler-11 b,1.8183333333333336,4.026898,10.303986871666666,0.030633333333333335,0.007499999999999999,5662.666666666667,1.0533333333333335,89.80333333333333,0.05306666666666667,4.16845,19.009833333333333,0.015853333333333334
Kepler-11 c,2.908333333333333,7.107254,13.024782440000001,0.07826333333333334,0.004333333333333333,5662.666666666667,1.0533333333333335,89.89666666666668,0.0608,4.537649999999999,22.338833333333334,0.025388333333333332
Kepler-11 d,3.216666666666667,7.082298333333333,22.686700191666667,0.09575833333333333,0.0006666666666666666,5662.666666666667,1.0533333333333335,89.905,0.05165,5.480316666666667,32.427,0.028076666666666663
Kepler-11 e,4.026666666666667,7.569886666666666,31.996185095,0.13807000000000003,0.002,5662.666666666667,1.0533333333333335,89.44166666666666,0.42051666666666665,4.1884,51.271166666666666,0.035138333333333334
Kepler-11 f,2.6100000000000003,4.82427,46.68637295,0.057835000000000004,0.0021666666666666666,5662.666666666667,1.0533333333333335,89.17666666666668,0.51445,6.4255,47.471666666666664,0.022798333333333334
Kepler-11 g,3.4149999999999996,89.7390075,118.37877675,0.10767833333333333,0.024999999999999998,5662.666666666667,1.0533333333333335,89.94333333333333,0.10063333333333334,9.499566666666666,97.125,0.029796666666666666
Kepler-111 c,7.442333333333333,222.47988,224.78150223333333,0.3470166666666667,0.029333333333333333,5909.5,1.1666666666666667,89.49766666666666,0.7281833333333333,11.390433333333334,117.37333333333333,0.05864833333333334
Kepler-113 b,1.954,9.61374,4.7539996339999995,0.07672000000000001,0.0,4645.2,0.702,88.124,0.41544,2.52946,12.924000000000001,0.025572
Kepler-113 c,2.4899999999999998,4.877644999999999,8.925084326,0.099054,0.0,4645.2,0.702,87.21000000000001,0.79778,2.71604,16.452,0.032456
Kepler-114 b,1.036,6.8,5.188559392,0.03479,0.0,4109.6,0.562,89.038,0.21424000000000004,2.39124,16.258000000000003,0.016843999999999998
Kepler-114 c,1.346,21.4,8.041331682,0.058244000000000004,0.0,4109.6,0.562,89.49,0.23588,2.63552,22.553,0.02194
Kepler-114 d,2.152,3.9,11.77613894,0.14092200000000002,0.0,4109.6,0.562,89.05,0.5037,2.9059,27.8,0.034996
Kepler-117 b,6.25,29.875,18.79590464,0.245716,0.0,6399.8,1.218,88.404,0.5149199999999999,7.315,17.798,0.046950000000000006
Kepler-117 c,9.366,584.78,50.79038961,0.581294,0.0,6399.8,1.218,89.828,0.21536,10.88568,37.1678,0.070482
Kepler-12 b,18.062,137.1422125,4.4379629860000005,1.6603180000000002,0.0,5964.6,1.412,89.862,0.017400000000000002,4.69453,8.093644000000001,0.11755800000000001
Kepler-120 b,2.088,8.5,6.312504744,0.133158,0.0,4182.2,0.574,88.914,0.22342,2.76116,16.9918,0.033296000000000006
Kepler-122 e,2.006,27.7,37.99596824,0.030912000000000002,0.0,6089.8,1.002,87.782,0.67976,7.05214,25.3288,0.018362
Kepler-122 f,1.8880000000000003,36.0,56.25848272,0.034741999999999995,0.0,6089.8,1.002,89.498,0.32576,8.22756,49.652,0.017298
Kepler-123 b,2.564,55.3,17.232313904,0.051713999999999996,0.0,6123.6,1.108,89.10999999999999,0.3351,4.53266,27.482,0.02118
Kepler-126 b,1.524,4.11726,10.495679518,0.011188,0.0,6219.0,1.328,86.648,0.62056,4.82808,12.4608,0.010530000000000001
Kepler-126 c,1.596,1.27942,21.86966513,0.011882,0.0,6219.0,1.328,87.88199999999999,0.72224,5.53428,20.8808,0.01106
Kepler-126 d,2.5620000000000003,54.59018999999999,100.28301508,0.033986,0.0,6219.0,1.328,89.632,0.29722,10.91516,63.3,0.017732
Kepler-128 b,1.3679999999999999,24.723333333333336,15.090099344000002,0.007008,0.0,6073.8,1.628,89.724,0.10472,4.22116,26.9772,0.007673999999999999
Kepler-128 c,1.3359999999999999,23.733333333333334,22.80143152,0.006281999999999999,0.0,6073.8,1.628,89.068,0.49582000000000004,4.96698,29.908,0.007508
Kepler-129 b,2.252,15.11114,15.791927538,0.02031,0.0,5772.6,1.5959999999999999,89.596,0.10769999999999999,7.2565,16.724800000000002,0.0129
Kepler-129 c,2.3619999999999997,34.15687,82.19997108,0.022014,0.0,5772.6,1.5959999999999999,89.846,0.13498,10.47138,58.23199999999999,0.01356
Kepler-131 b,2.096,11.492505,16.091963994,0.043340000000000004,0.0,5748.0,0.986,89.446,0.27102,2.89142,39.016,0.019452
Kepler-131 c,0.796,8.25,25.51710164,0.006482,0.0,5748.0,0.986,89.41,0.39788,5.03568,35.8,0.007416000000000001
Kepler-136 b,1.9759999999999998,19.8,11.578916692,0.023746,0.0,6156.4,1.216,88.458,0.6262399999999999,2.78562,24.95,0.014877999999999999
Kepler-138 b,0.624,0.20575000000000002,10.312892266,0.013463999999999999,0.0,3853.8,0.522,89.6,0.2963,2.10652,34.266,0.010896
Kepler-138 c,1.47,2.98,13.781085405999999,0.073618,0.0,3853.8,0.522,89.46,0.31112,2.30734,42.07,0.025584000000000003
Kepler-138 d,1.572,1.23,23.089104916,0.060148,0.0,3853.8,0.522,89.012,0.8039799999999999,1.90838,52.620000000000005,0.027368000000000003
Kepler-139 b,2.6879999999999997,5.2879,15.771095432,0.05331,0.0,5618.0,1.184,89.956,0.00942,5.05412,24.331799999999998,0.020802
Kepler-139 c,2.772,23.2558,157.06652764,0.055356,0.0,5618.0,1.184,89.846,0.19790000000000002,8.09422,143.74,0.021467999999999998
